2023-05-20 09:29:38.737 [http-nio-8080-exec-6] INFO  com.yutech.back.common.utils.JwtUtil - 验证token成功，id======00001
2023-05-20 09:29:38.737 [http-nio-8080-exec-6] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===通过了token验证
2023-05-20 09:30:10.007 [http-nio-8080-exec-8] INFO  com.yutech.back.common.utils.JwtUtil - 验证token成功，id======00001
2023-05-20 09:30:10.008 [http-nio-8080-exec-8] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===通过了token验证
2023-05-20 09:33:31.908 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-05-20 09:33:31.910 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-05-20 09:33:36.623 [restartedMain] INFO  com.yutech.back.BackApplication - Starting BackApplication using Java 11.0.12 on MSI with PID 15076 (C:\Users\AaBbCcuzim\Desktop\SoftwareEngineering-master\back\target\classes started by AaBbCcuzim in C:\Users\AaBbCcuzim\Desktop\SoftwareEngineering-master)
2023-05-20 09:33:36.622 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-05-20 09:33:36.625 [restartedMain] INFO  com.yutech.back.BackApplication - The following 1 profile is active: "dev"
2023-05-20 09:33:36.664 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-20 09:33:36.665 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-20 09:33:37.650 [restartedMain] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - Post-processing PropertySource instances
2023-05-20 09:33:37.652 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2023-05-20 09:33:37.652 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-05-20 09:33:37.652 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource servletContextInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-05-20 09:33:37.654 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
2023-05-20 09:33:37.654 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
2023-05-20 09:33:37.654 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
